id,name,nickname,height,weight,reach,dob,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
d156513a19acf856,Sam Alvey,Smile'N,"6'2""",205,75,1986,3.2,45,3.25,55,.0.10,25,84,..0.1,10,6,4,-1
41b34b7f11f6d085,Levi Alford,,,,,  --,0,0,0,0,.0.00,0,0,..0.0,0,0,0,0
bf0e700106d00e55,Austin Arnett,Golden Boy,"6'0""",145,72,1991,4.12,37,7.45,62,.0.39,20,50,..0.4,1,2,-1,1
3738e68d2261e60f,Andrei Arlovski,The Pitbull,"6'3""",240,77,1979,3.13,42,2.62,57,.0.61,37,79,..0.3,18,15,3,1
ee0b69e307c857e5,Chris Amarante,,,185,,  --,0,0,0,0,.0.00,0,0,..0.0,1,0,1,1
91e3388e69060e69,Veta Arteaga,,"5'7""",125,,  --,3.2,36,1.92,65,.0.00,0,40,..0.0,0,0,0,0
6cadc0a0ba7dc015,Edwin Aguilar,Tigre,"5'10""",185,,  --,0,0,0,0,.0.00,0,0,..0.0,0,1,-1,-1
d0f3959b4a9747e6,Jose Aldo,Junior,"5'7""",145,70,1986,3.51,44,2.94,67,.0.73,68,92,..0.2,17,3,14,1
91186547a7f3f758,Ricardo Almeida,Big Dog,"6'0""",170,74,1976,2.02,49,1.2,61,.3.74,38,31,..1.2,8,5,3,-1
040a74bb0a465c54,Arnold Allen,Almighty,"5'8""",145,70,1994,2.12,33,1.78,57,.2.21,57,66,..0.8,4,0,4,1
1ffc38f67785797b,Lowell Anderson,,"5'6""",160,,  --,0,0,0,0,.0.00,0,0,..0.0,0,1,-1,-1
af997f7611673880,Gadzhimurad Antigulov,,"5'11""",205,70,1987,1.78,53,5.45,21,.9.51,50,0,..3.8,2,1,1,-1
9199e0735b83dd32,Andy Anderson,The Hammer,"5'6""",240,,1974,0,0,0,0,.0.00,0,0,..0.0,0,1,-1,-1
de62052b2ede65ba,Matt Arroyo,No Regard,"5'10""",170,72,1982,1.62,47,2.01,58,.2.12,36,100,..5.3,1,2,-1,-2
46d0a888d87d91ac,Abu Azaitar,Gladiator,"5'9""",185,76,1986,3.2,37,1.27,57,.1.00,100,25,..0.0,1,0,1,1
0541480fbf719d86,Houston Alexander,The Assassin,"6'0""",205,72,1972,3.06,54,3.2,52,.1.19,57,33,..0.0,2,4,-2,-4
c0ed7b208197e8de,Hiroyuki Abe,Abe Ani,"5'6""",145,,  --,1.71,36,3.11,63,.0.00,0,33,..0.0,0,1,-1,0
38b50fd1e1b5b656,Razak Al-Hassan,,"6'2""",205,,1982,3.27,39,3.14,60,.0.65,14,57,..0.0,0,2,-2,-2
d53482bef23235ba,Marcio Alexandre Junior,Lyoto,"6'0""",185,75,1989,1.61,45,2.89,42,.0.35,20,66,..0.7,0,3,-3,-3
2eada40ac8801559,Hitomi Akano,Girlfight Monster,"5'4""",135,,1974,0.59,45,2.58,55,.0.00,0,8,..0.5,1,3,-2,-1
d317a5e2b3f88c5f,Warlley Alves,,"5'11""",170,72,1991,2.88,46,4.09,49,.1.22,44,80,..0.9,6,3,3,-1
1cf1310684a841f5,Mostapha Al-Turk,,"6'2""",245,77,1973,1.36,19,3.61,53,.0.00,0,0,..0.0,0,3,-3,-3
c6bf75775b278ed8,Mauricio Alonso,,"6'2""",170,,1980,5.74,34,1.91,67,.0.00,0,0,..0.0,0,0,0,0
1ccff7f0cfdf85eb,Erik Apple,,"6'0""",170,,1977,0,0,0.54,81,.0.00,0,0,..8.1,0,3,-3,-3
dd1b90eea08887f6,Israel Albuquerque,,,185,,  --,0.32,13,3.34,25,.0.00,0,0,..0.0,0,1,-1,-1
cf946e03ba2e7666,Kevin Aguilar,The Angel of Death,"5'7""",155,72,1988,3.33,49,3.73,50,.0.00,0,71,..0.0,0,0,0,0
fe5a9547479396ab,Jim Alers,The Beast,"5'9""",145,71,1986,2.9,40,4.38,56,.2.26,41,80,..0.3,1,2,-1,-1
