event_id,method
eaa0a728cc91ef60,U-DEC
eaa0a728cc91ef60,KO/TKO
eaa0a728cc91ef60,U-DEC
eaa0a728cc91ef60,SUB
eaa0a728cc91ef60,KO/TKO
eaa0a728cc91ef60,KO/TKO
eaa0a728cc91ef60,U-DEC
eaa0a728cc91ef60,KO/TKO
eaa0a728cc91ef60,U-DEC
bcd124bcd3d5be46,SUB
bcd124bcd3d5be46,U-DEC
bcd124bcd3d5be46,KO/TKO
bcd124bcd3d5be46,U-DEC
bcd124bcd3d5be46,U-DEC
bcd124bcd3d5be46,U-DEC
bcd124bcd3d5be46,S-DEC
bcd124bcd3d5be46,KO/TKO
bcd124bcd3d5be46,SUB
bcd124bcd3d5be46,S-DEC
bcd124bcd3d5be46,U-DEC
bcd124bcd3d5be46,SUB
bcd124bcd3d5be46,KO/TKO
9e30f69cc0869301,KO/TKO
9e30f69cc0869301,KO/TKO
9e30f69cc0869301,U-DEC
9e30f69cc0869301,KO/TKO
9e30f69cc0869301,U-DEC
9e30f69cc0869301,KO/TKO
9e30f69cc0869301,KO/TKO
9e30f69cc0869301,U-DEC
9e30f69cc0869301,S-DEC
9e30f69cc0869301,KO/TKO
9e30f69cc0869301,KO/TKO
9e30f69cc0869301,SUB
9e30f69cc0869301,KO/TKO
30e8b4505f5ccf92,U-DEC
30e8b4505f5ccf92,U-DEC
30e8b4505f5ccf92,S-DEC
30e8b4505f5ccf92,KO/TKO
30e8b4505f5ccf92,M-DEC
30e8b4505f5ccf92,SUB
30e8b4505f5ccf92,Other - Lock
30e8b4505f5ccf92,SUB
30e8b4505f5ccf92,KO/TKO
30e8b4505f5ccf92,SUB
30e8b4505f5ccf92,KO/TKO
30e8b4505f5ccf92,SUB
e7bc606d269896aa,KO/TKO
e7bc606d269896aa,KO/TKO
e7bc606d269896aa,S-DEC
e7bc606d269896aa,SUB
e7bc606d269896aa,SUB
e7bc606d269896aa,KO/TKO
e7bc606d269896aa,U-DEC
e7bc606d269896aa,SUB
e7bc606d269896aa,KO/TKO
e7bc606d269896aa,U-DEC
e7bc606d269896aa,U-DEC
e7bc606d269896aa,SUB
caced97768818230,U-DEC
caced97768818230,S-DEC
caced97768818230,S-DEC
caced97768818230,S-DEC
caced97768818230,U-DEC
caced97768818230,U-DEC
caced97768818230,KO/TKO
caced97768818230,SUB
caced97768818230,KO/TKO
caced97768818230,S-DEC
caced97768818230,U-DEC
caced97768818230,U-DEC
caced97768818230,U-DEC
d856a0080ac09ed7,KO/TKO
d856a0080ac09ed7,KO/TKO
d856a0080ac09ed7,U-DEC
d856a0080ac09ed7,S-DEC
d856a0080ac09ed7,KO/TKO
d856a0080ac09ed7,KO/TKO
d856a0080ac09ed7,S-DEC
d856a0080ac09ed7,U-DEC
d856a0080ac09ed7,U-DEC
d856a0080ac09ed7,U-DEC
d856a0080ac09ed7,U-DEC
d856a0080ac09ed7,U-DEC
d856a0080ac09ed7,SUB
a25b71fe5e31fa97,SUB
a25b71fe5e31fa97,KO/TKO
a25b71fe5e31fa97,KO/TKO
a25b71fe5e31fa97,U-DEC
a25b71fe5e31fa97,KO/TKO
a25b71fe5e31fa97,KO/TKO
a25b71fe5e31fa97,DQ
a25b71fe5e31fa97,KO/TKO
a25b71fe5e31fa97,U-DEC
a25b71fe5e31fa97,KO/TKO
a25b71fe5e31fa97,KO/TKO
a7724f51e32e763e,KO/TKO
a7724f51e32e763e,U-DEC
a7724f51e32e763e,SUB
a7724f51e32e763e,U-DEC
a7724f51e32e763e,KO/TKO
a7724f51e32e763e,U-DEC
a7724f51e32e763e,SUB
a7724f51e32e763e,SUB
a7724f51e32e763e,U-DEC
a7724f51e32e763e,U-DEC
a7724f51e32e763e,S-DEC
a7724f51e32e763e,SUB
d6b68eaf4b68b160,KO/TKO
d6b68eaf4b68b160,U-DEC
d6b68eaf4b68b160,SUB
d6b68eaf4b68b160,U-DEC
d6b68eaf4b68b160,U-DEC
d6b68eaf4b68b160,KO/TKO
d6b68eaf4b68b160,U-DEC
d6b68eaf4b68b160,U-DEC
d6b68eaf4b68b160,U-DEC
d6b68eaf4b68b160,KO/TKO
d6b68eaf4b68b160,U-DEC
cc5834a495d1ea08,SUB
cc5834a495d1ea08,SUB
cc5834a495d1ea08,SUB
cc5834a495d1ea08,SUB
cc5834a495d1ea08,M-DEC
cc5834a495d1ea08,S-DEC
cc5834a495d1ea08,S-DEC
cc5834a495d1ea08,U-DEC
cc5834a495d1ea08,U-DEC
cc5834a495d1ea08,KO/TKO
cc5834a495d1ea08,U-DEC
9211aae062b799d6,SUB
9211aae062b799d6,Other - Choke
9211aae062b799d6,U-DEC
9211aae062b799d6,KO/TKO
9211aae062b799d6,KO/TKO
9211aae062b799d6,U-DEC
9211aae062b799d6,SUB
9211aae062b799d6,S-DEC
9211aae062b799d6,S-DEC
9211aae062b799d6,U-DEC
9211aae062b799d6,U-DEC
1979c80150f630c4,KO/TKO
1979c80150f630c4,KO/TKO
1979c80150f630c4,KO/TKO
1979c80150f630c4,SUB
1979c80150f630c4,KO/TKO
1979c80150f630c4,S-DEC
1979c80150f630c4,S-DEC
1979c80150f630c4,KO/TKO
1979c80150f630c4,KO/TKO
1979c80150f630c4,KO/TKO
d86e913c548c07c2,S-DEC
d86e913c548c07c2,SUB
d86e913c548c07c2,KO/TKO
d86e913c548c07c2,U-DEC
d86e913c548c07c2,U-DEC
d86e913c548c07c2,SUB
d86e913c548c07c2,SUB
d86e913c548c07c2,U-DEC
d86e913c548c07c2,KO/TKO
d86e913c548c07c2,U-DEC
d86e913c548c07c2,KO/TKO
a3244e3238541482,KO/TKO
a3244e3238541482,KO/TKO
a3244e3238541482,KO/TKO
a3244e3238541482,U-DEC
a3244e3238541482,U-DEC
a3244e3238541482,KO/TKO
a3244e3238541482,SUB
a3244e3238541482,U-DEC
a3244e3238541482,U-DEC
a3244e3238541482,SUB
a3244e3238541482,KO/TKO
a3244e3238541482,KO/TKO
f4a031ac205ac580,U-DEC
f4a031ac205ac580,S-DEC
f4a031ac205ac580,KO/TKO
f4a031ac205ac580,KO/TKO
f4a031ac205ac580,S-DEC
f4a031ac205ac580,S-DEC
f4a031ac205ac580,KO/TKO
f4a031ac205ac580,KO/TKO
f4a031ac205ac580,SUB
f4a031ac205ac580,U-DEC
f4a031ac205ac580,SUB
f4a031ac205ac580,SUB
f4a031ac205ac580,Other - Choke
ff9578cdbfabd323,Overturned
ff9578cdbfabd323,U-DEC
ff9578cdbfabd323,KO/TKO
ff9578cdbfabd323,U-DEC
ff9578cdbfabd323,KO/TKO
ff9578cdbfabd323,KO/TKO
ff9578cdbfabd323,U-DEC
ff9578cdbfabd323,SUB
ff9578cdbfabd323,U-DEC
ff9578cdbfabd323,U-DEC
ff9578cdbfabd323,S-DEC
ff9578cdbfabd323,KO/TKO
9f3d6ddef3d3cccc,SUB
9f3d6ddef3d3cccc,S-DEC
9f3d6ddef3d3cccc,S-DEC
9f3d6ddef3d3cccc,U-DEC
9f3d6ddef3d3cccc,S-DEC
9f3d6ddef3d3cccc,KO/TKO
9f3d6ddef3d3cccc,KO/TKO
9f3d6ddef3d3cccc,U-DEC
9f3d6ddef3d3cccc,U-DEC
9f3d6ddef3d3cccc,SUB
9f3d6ddef3d3cccc,KO/TKO
9f3d6ddef3d3cccc,U-DEC
9f3d6ddef3d3cccc,U-DEC
d7907a9a968e4d29,KO/TKO
d7907a9a968e4d29,U-DEC
d7907a9a968e4d29,KO/TKO
d7907a9a968e4d29,U-DEC
d7907a9a968e4d29,KO/TKO
d7907a9a968e4d29,U-DEC
d7907a9a968e4d29,KO/TKO
d7907a9a968e4d29,SUB
d7907a9a968e4d29,KO/TKO
d7907a9a968e4d29,U-DEC
d7907a9a968e4d29,U-DEC
d7907a9a968e4d29,KO/TKO
686cccbf1a4de453,U-DEC
686cccbf1a4de453,M-DEC
686cccbf1a4de453,U-DEC
686cccbf1a4de453,U-DEC
686cccbf1a4de453,SUB
686cccbf1a4de453,SUB
686cccbf1a4de453,KO/TKO
686cccbf1a4de453,KO/TKO
686cccbf1a4de453,U-DEC
686cccbf1a4de453,U-DEC
686cccbf1a4de453,KO/TKO
23bd78c3f89bdb54,KO/TKO
23bd78c3f89bdb54,SUB
23bd78c3f89bdb54,S-DEC
23bd78c3f89bdb54,KO/TKO
