id,name,height,weight,reach,dob,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
3993f7dcb7caf42a,Brandon Cash,6'5",255,,  --,5.42,72,0.68,33,.10.17,66,0,..0.0,0,2,-2,-2
987b80f57190d6d0,Ivan Cole,5'9",135,,1990,2.68,36,4.69,46,.0.00,0,0,..0.0,0,0,0,0
760a55d5b6098cbe,Carlos Candelario,5'8",125,68,1991,3.11,46,4.04,42,.2.33,33,53,..0.3,1,2,-1,-2
31ceaf0e670c1578,Gil Castillo,5'9",170,,1965,0.60,45,2.22,44,.3.33,45,50,..0.0,1,2,-1,-1
4e5bbc4566049cbf,Branko Cikatic,6'1",215,,1954,0.00,0,0.00,0,.0.00,0,0,..0.0,0,2,-2,-2
8a64b3f87ad29d1e,Dominic Clark,5'10",155,,1985,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
8c8c92a12621d7e0,Chris Cope,6'0",170,72,1983,3.96,26,4.82,50,.0.00,0,80,..0.0,2,2,0,-2
7cb0946d51b8cde7,Henry Corrales,5'9",145,,  --,4.12,41,5.84,55,.0.00,0,69,..0.0,0,0,0,0
28877eddb1c0b967,Guilherme Costa,,155,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,0,0,0
b27b8881d7444114,Adam Cella,6'2",170,,1985,1.91,42,2.61,51,.3.92,75,50,..1.3,0,1,-1,-1
312f47c3d2f83ffa,Houston Dorr,6'1",210,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
519e4fe37ce9ff75,Drew Dober,5'8",155,70,1988,4.47,40,4.16,51,.0.75,17,54,..0.1,12,7,5,2
a683f9ddb70aa4bd,Sean Daugherty,6'0",175,,1975,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
d3f5d33d61cd00c9,Norma Dumont,5'7",145,67,1990,3.67,50,2.19,67,.1.02,45,70,..0.0,3,2,1,-1
a4dc47001f202bcd,Rodrigo de Lima,5'7",155,,1991,1.29,33,5.50,32,.2.66,36,0,..1.3,0,2,-2,-2
0509b954421bb327,John Doyle,5'11",205,,1976,3.50,44,10.51,27,.0.00,0,0,..0.0,0,1,-1,-1
d2fa318f34d0aadc,Karen Darabedyan,5'7",155,68,1986,3.43,51,2.62,67,.2.14,75,0,..0.0,1,2,-1,-2
ea3dcc417c322064,Martin Day,5'10",145,73,1988,3.97,45,3.79,53,.0.72,60,65,..0.5,0,5,-5,-5
7bc96507e4b38d3b,Cody Donovan,6'3",205,74,1981,5.61,59,5.44,45,.1.67,28,0,..1.7,1,3,-2,-3
29b5d32584e02d8d,Antonio Duarte,5'7",135,,  --,4.55,40,4.18,57,.0.00,0,60,..0.0,0,1,-1,-1
654ae722109a0d31,Joe Duffy,5'10",155,73,1988,2.68,34,3.78,54,.0.96,66,64,..0.7,4,4,0,-3
55a80a9365bc107d,Marques Daniels,,155,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
e5c9de15bb58b1c6,Evan Dunham,5'10",155,70,1981,5.33,39,3.54,61,.1.82,33,79,..1.0,11,9,2,-3
bbc9ab95fa766493,Anderson Dos Santos,5'5",135,70,1985,2.70,25,5.37,49,.0.98,14,66,..0.7,1,3,-2,-1
ddbd0d6259ce57cc,Dave Dalgliesh,6'2",205,,1978,0.00,0,1.85,50,.0.00,0,0,..0.0,0,1,-1,-1
cc351e408bbb7d43,Brandon Davis,5'10",135,72,1990,4.63,35,4.46,60,.0.70,45,56,..0.1,3,6,-3,-3
5fd834edd92c9e50,Chris Drumm,5'8",145,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,0,0,0
a62f85f6a6c19a4c,Wallen Del Rosario,5'4",125,67,1993,1.40,32,4.73,40,.1.00,16,100,..0.0,0,1,-1,-1
bfaf4c87936b4fae,Humberto DeLeon,,135,,1989,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
957562fdf68a725a,Acacio Dos Santos,6'4",205,79,1991,1.27,41,1.40,43,.0.00,0,31,..0.0,0,1,-1,-1
e4aaaa34535e32b6,Nick Denis,5'7",135,,1983,6.54,53,5.42,36,.2.80,100,80,..0.0,1,1,0,-1
414bddf0c80c41e1,Josh Diekmann,5'4",246,,1976,0.28,5,8.17,25,.0.00,0,0,..0.0,0,1,-1,-1
a993ef2dd36cea5f,Lemont Davis,5'8",170,,  --,0.87,54,1.27,55,.1.00,50,0,..1.0,1,2,-1,-2
6c9b66b43663f2f7,Viktoriia Dudakova,,115,,1999,0.00,0,0.00,0,.0.00,0,0,..0.0,0,0,0,0
77d7295d1b22c694,Alessio Di Chirico,6'0",185,74,1989,3.30,41,3.24,62,.1.62,45,83,..0.0,4,6,-2,-1
0d7b51c9d2649a6e,Dricus Du Plessis,6'1",185,76,1994,6.55,51,4.23,52,.1.20,18,100,..0.0,3,0,3,3
c03520b5c88ed6b4,Merab Dvalishvili,5'6",135,68,1991,4.21,40,2.31,58,.6.54,40,78,..0.3,8,2,6,8
6dab8ce5e4bffe77,LC Davis,5'8",135,69,1980,2.04,30,2.10,59,.2.27,46,66,..0.2,4,2,2,-2
985bca5a097fb3f4,Justin DeMoney,,170,,1985,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
08af939f41b5a57b,Beneil Dariush,5'10",155,72,1989,3.80,49,2.58,58,.2.11,34,81,..1.0,15,4,11,7
7447e9f28508106a,Mackenzie Dern,5'4",115,63,1993,3.16,35,4.35,54,.0.46,9,40,..2.0,7,2,5,1
81b8b3fb019dc69d,Antonio Dos Santos,5'10",185,,1988,5.40,51,3.94,43,.0.00,0,100,..0.0,0,2,-2,-2
ac45450f75d14f16,Sarah D'alelio,5'7",145,,1980,2.40,33,0.00,100,.0.00,0,100,..0.0,0,1,-1,-1
4b450aa602611baa,Angel De Anda,5'9",225,,1985,5.68,46,6.32,47,.0.00,0,0,..0.0,0,1,-1,-1
43563a32c3f10e95,Cyrille Diabate,6'6",205,81,1973,4.06,71,1.78,60,.1.17,83,53,..0.2,4,5,-1,-2
b72f3cafa6376e35,Robert Densley,5'9",155,,  --,1.81,47,0.40,60,.0.00,0,50,..0.0,0,1,-1,-1
6ad9058b7c7898b0,Tony DeSouza,6'0",170,70,1974,1.12,52,1.57,41,.2.25,42,40,..1.5,4,3,1,-2
0d9312337fdce39a,Jordan Dowdy,,170,,  --,2.11,44,2.63,50,.0.00,0,0,..0.0,0,0,0,0
dfae5da5676e4194,Chris Dempsey,5'10",185,72,1987,2.25,32,2.82,65,.2.64,23,16,..0.0,1,3,-2,-2
2c483cf443f38ece,Vanessa Demopoulos,5'2",115,59,1988,3.46,44,4.47,44,.0.32,7,50,..1.3,2,2,0,2
5dd180c8b3196786,Gloria de Paula,5'5",115,67,1995,4.89,53,3.77,66,.0.74,37,65,..0.5,2,3,-1,-1
9d19d9e4aa2662e8,Nicolas Dalby,5'11",170,74,1984,3.22,39,3.22,53,.1.22,31,65,..0.1,4,3,1,1
37b1696e6d115957,Rolando Delgado,6'3",155,77,1981,1.56,40,1.83,62,.1.17,22,0,..3.5,1,2,-1,-2
ad4e9055bf8cd04d,John Dixson,6'0",275,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
b4f7a2d8ecc5e0c3,Ralph Dillon,6'2",205,,  --,0.34,14,0.69,60,.0.00,0,0,..0.0,0,1,-1,-1
cc2ad11b1f9d818b,Drew Dimanlig,,185,,  --,3.70,73,3.17,20,.0.00,0,0,..0.0,0,2,-2,-2
7df4d3c38792b083,Bill Duvall,6'2",185,,  --,0.00,0,2.40,40,.0.00,0,0,..0.0,0,1,-1,-1
122ac9b816d8b71c,Shana Dobson,5'6",125,69,1989,3.34,37,5.20,50,.0.84,50,14,..0.0,2,4,-2,-1
1a225f04aa6e0739,Kelly Dullanty,5'8",155,,1977,0.00,0,0.67,75,.0.00,0,66,..0.0,0,1,-1,-1
dbaaf42313af90fa,Joe Doerksen,6'0",185,75,1977,1.43,42,2.79,50,.2.02,33,33,..2.3,3,8,-5,-2
8567466ae167216b,Thomas Diagne,6'1",154,,1983,4.53,48,4.53,63,.2.00,100,66,..0.0,1,3,-2,-3
d0aaedcf7ccd0b45,Chris Daukaus,6'3",250,76,1989,6.47,50,4.02,59,.0.00,0,100,..0.0,4,2,2,-2
31bb0772f21cabd8,Daniel Da Silva,5'6",125,70,1996,4.29,60,10.26,26,.1.40,33,0,..0.0,0,3,-3,-3
42775dc893603154,Brian Davidson,5'6",145,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,1,0,1,1
009c4420727149ea,AJ Dobson,6'1",185,76,1992,4.70,57,4.55,39,.0.78,50,62,..0.8,1,1,0,-1
fd406a32a6fb3a29,Chris Duncan,5'10",155,71,1993,7.10,44,7.94,41,.4.18,40,0,..0.0,1,1,0,1
7c9aeba0c4d4bd78,Anthony Do,5'4",125,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,0,0,0
20697b334f6c0a45,Justin Davis,5'11",205,,1983,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
0bcfe2513cb3bc39,Tom DeBlass,6'0",185,,1982,1.50,35,4.43,37,.1.00,50,28,..0.5,0,2,-2,-2
9ada30894bf04e19,David Dvorak,5'5",125,68,1992,3.87,43,3.00,61,.0.00,0,81,..0.3,3,1,2,-1
eb42d4febfafefd1,Seth Dikun,5'10",135,69,1980,1.45,26,2.18,55,.0.00,0,45,..0.9,1,2,-1,-1
a11a6ee8eeb03c18,Thomas Denny,5'10",170,,1971,2.36,45,4.69,40,.1.48,17,42,..1.5,0,4,-4,-4
e51ee8ded927fc51,Chris de la Rocha,6'3",250,80,1979,4.08,45,6.37,43,.2.02,30,33,..1.0,1,3,-2,-1
7f6ed67d3ed3c036,Cody Durden,5'7",125,67,1991,3.98,49,4.12,48,.4.24,38,71,..0.4,2,2,0,1
033343da4c0cff8a,Carina Damm,5'4",135,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
43db649da89fac4b,Rilley Dutro,5'8",125,,1987,4.74,54,5.95,33,.0.00,0,83,..0.0,0,1,-1,-1
9cfbfae5fa1fdd93,Geraldo de Freitas,5'7",135,72,1991,3.67,52,2.62,50,.3.00,45,59,..0.0,1,2,-1,-2
0e2c2daf11b5d8f2,Issac DeJesus,,145,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,1,0,1,1
173acb3f920082b8,Roland Delorme,5'9",135,71,1983,2.28,44,4.32,40,.2.51,34,42,..1.6,3,3,0,-3
b0bd0c5425668b8f,Henrique da Silva,6'3",205,76,1989,3.89,60,5.28,40,.0.25,14,22,..0.2,2,5,-3,-5
a20d7dfaba74c067,Rodrigo Damm,5'7",155,71,1980,3.50,36,5.61,57,.0.44,16,80,..0.3,3,6,-3,-3
5d7bdab5e03e3216,CB Dollaway,6'2",185,76,1983,2.65,47,2.58,54,.3.55,54,62,..1.2,11,9,2,-1
679a9054e2815943,Tomasz Drwal,6'1",205,76,1982,3.29,38,2.26,57,.3.55,60,82,..0.4,3,3,0,-2
02f8fedc18cbd26c,Emily Ducote,5'2",115,63,1994,7.73,56,4.20,74,.0.00,0,100,..0.0,1,0,1,1
bda04c573563cc2e,Todd Duffee,6'3",260,78,1985,5.93,37,2.87,56,.0.72,25,90,..0.0,3,3,0,0
2153a7f8396a46cc,Luiz Dutra,5'11",170,,1982,3.92,50,4.80,41,.0.00,0,100,..0.0,0,2,-2,-2
4ae4049426e0161d,Alexis Dufresne,5'9",135,,1990,1.33,27,3.33,60,.1.50,50,50,..0.0,0,2,-2,-2
afdb76fbd86f6d11,Edilberto de Oliveira,6'0",170,,1982,4.12,32,6.79,61,.0.00,0,0,..0.0,0,2,-2,-2
6b453bc35a823c3f,Jack Della Maddalena,5'11",170,73,1996,8.24,49,4.68,65,.0.00,0,66,..0.0,3,0,3,3
8ce87f7e3a9baed2,Tiago dos Santos e Silva,5'9",145,70,1987,3.69,35,4.23,59,.0.63,11,33,..0.3,2,2,0,-1
63def5a5662a6917,Junior Dos Santos,6'4",238,77,1984,4.49,47,3.33,56,.0.30,50,81,..0.1,15,8,7,-4
