id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum,elo,best_elo,avg_opp_elo
4123fd4dcc1fe937,David Terrell,73,185,75,2.34,63,2.71,37,5.54,50,0,5.5,2,1,1,1,1306.11,1306.11,1200.79
5befa793316d3469,James Terry,70,170,75,3.23,32,4.77,64,3.31,36,75,0,6,4,2,-2,1330.74,1376.17,1180.62
2747c60e42d9d75f,David Teymur,69,155,73,4.72,42,3.41,55,1.04,33,82,0,5,0,5,5,1560.05,1560.05,1277.67
fbf0537e420e698e,Daniel Teymur,65,145,69,3.8,45,5.59,55,0,0,75,0,0,2,-2,-2,1225.33,1277.46,1182.19
d34636a85f0f4c90,Motonobu Tezuka,67,135,66,0.87,23,2.8,51,1.5,11,0,0.5,0,2,-2,-2,1273.85,1415.83,1139.89
638cfec7ec559d6e,Brandon Thatch,74,170,74,2.7,42,3.63,52,1.36,66,50,0.7,2,5,-3,-4,1329.97,1507.91,1230
34f88592c0ab7a54,Elias Theodorou,73,185,75,3.93,42,1.99,55,1.58,30,58,0,7,2,5,1,1593.65,1593.65,1302.42
30a09e43f15f1d75,Paulo Thiago,71,170,73,1.71,39,1.99,63,1.42,31,63,1.2,5,8,-3,-3,1387.31,1525.51,1318.51
b732b326c362fb62,Ryan Thomas,72,170,75,2.01,36,4.17,30,5.59,33,0,2.2,0,2,-2,-2,1365.91,1365.91,1126.85
40a604761ca7d64d,Din Thomas,69,155,75,1.85,37,2.6,59,1.38,52,76,1.2,5,4,1,-2,1395.07,1432.98,1170.76
319c15b8aac5bfde,Noah Thomas,69,135,75,0.44,13,4.99,33,0,0,0,1.3,0,2,-2,-2,1179.66,1301.36,1083.2
9e30f69cc0869301,James Thompson,77,265,75,5.13,52,3.19,41,3.14,36,53,1.3,5,6,-1,-4,1139.74,1311.83,1166.51
7d3caf0f96f1b33d,Nick Thompson,73,170,74,1.87,42,1.8,49,1.06,100,35,2.6,1,3,-2,-3,1332.83,1619.97,1176.65
dcdd511ff757f15c,Oli Thompson,73,242,75,1.66,46,5.31,46,0,0,50,0.5,0,2,-2,-2,1318.49,1374.71,1165.35
4a28cb716c19157a,Stephen Thompson,72,170,75,3.45,42,2.51,60,0.41,45,78,0,9,3,6,-1,1639.61,1698.65,1402.22
a566371ba2ad7152,Josh Thomson,70,155,71,2.59,47,2.12,64,1.92,39,54,1.3,15,8,7,-3,1480.86,1595.75,1304.02
fea8acf9bfcf09ec,Simeon Thoresen,73,170,79,3.85,43,3.85,64,1.12,40,50,1.7,1,2,-1,-2,1199.56,1385.74,1143.41
083e15da67d9b0fa,Josh Thornburg,72,170,75,1.2,50,3.13,38,2,66,42,2,0,2,-2,-2,970.77,1216.73,1096.11
75e5fec9f72910ef,Gleison Tibau,70,155,71,1.95,31,2.51,63,4.08,53,92,0.8,16,12,4,-4,1413.17,1624.75,1272.04
1d1b85389a05df69,Chris Tickle,69,155,75,1.07,40,1.13,43,1,25,20,2,0,1,-1,-1,1097.47,1240.93,1113.24
9eb069062a0cfc13,Nolan Ticman,66,125,69,2.57,47,2.53,67,0,0,60,0,0,2,-2,-2,1020.75,1106.4,1034.82
9ce6d5a03af801b7,Darren Till,72,170,74,2.39,45,2.98,61,0.5,33,86,0,5,1,4,-1,1665.1,1694.16,1192.07
2d5fbe2103f97053,Hideo Tokoro,67,135,75,1.78,37,2.01,65,0.87,34,44,2.3,8,8,0,-2,1183.88,1391.12,1170.97
679ae8c4fd022c6b,Anatoly Tokov,70,185,75,3.51,72,0.54,66,2.03,100,100,0,0,0,0,0,1623.24,1623.24,1168.74
c4af2feb4b58bc3b,Kazuki Tokudome,71,155,73,2.26,41,3.63,53,2,38,78,0,1,3,-2,-3,1410.43,1515.48,1251.21
8e893f269d5696b2,Tyler Toner,68,145,70,2.95,52,2.13,62,0,0,54,0.4,2,2,0,-2,1171.38,1322.97,1143.18
9de7c97e1c0d7927,Masanori Tonooka,68,185,75,0.16,5,1.09,36,0,0,0,0,0,1,-1,-1,1018.45,1026.87,1207.94
1971869b7e054261,Mike de la Torre,71,145,71,3.21,39,4.75,51,0.36,16,83,0,2,4,-2,-2,1261.51,1381.9,1186.42
e4e0f310b3cf23a8,Alex Torres,70,145,70,2.47,37,2.73,69,2,22,50,0,0,1,-1,-1,1070.35,1117.15,1121.17
31ef8b67e13495b3,Tecia Torres,61,115,60,4.44,48,3.11,65,0.83,17,42,0.1,6,3,3,-2,1364.4,1446.92,1204.62
918d9d89d4d52acc,Anthony Torres,68,170,75,3.54,48,7.52,45,0,0,100,2.2,1,1,0,-1,1065.55,1180.34,1101.04
d2036f31c035e0d1,Jose Torres,64,125,65,4.37,36,9.84,50,1.28,33,75,0,1,1,0,-1,1507.69,1574.32,1198.14
33b2f68ef95252e0,Miguel Torres,69,135,76,3.98,43,1.86,74,0,0,17,1.6,8,4,4,-1,1336.75,1651.22,1165.99
cce79e827569f26e,Ronys Torres,67,155,75,0.87,26,1.93,57,4,47,16,0.5,0,2,-2,-2,1586.87,1644.45,1205.92
cbf1c7ba5408a66f,Salim Touahri,70,170,72,2.33,47,2.53,60,0,0,71,0,0,1,-1,1,1298.37,1336.67,1112.37
20ec0061400178ca,Roberto Traven,75,227,75,0.92,50,2.77,57,0,0,0,0,1,1,0,-1,1040.7,1241.3,1094.16
97a6bbe6e6566a94,Francisco Trevino,69,155,70,2.65,42,2.42,64,0.97,22,41,0,1,2,-1,-2,1288.95,1362.6,1137.75
0cf9f5518d6063bb,Angelo Trevino,71,170,75,5.19,54,3.9,47,0,0,100,0,0,0,0,0,1180.39,1222.47,1077.81
d2d37e8eeb3abc8d,Frank Trigg,69,170,71,2.79,46,1.9,56,2.35,47,75,0.8,8,5,3,-2,1389.9,1510.33,1281.13
a8283a4f415e1eb9,Francisco Trinaldo,69,155,70,3.27,45,2.47,60,1.17,45,63,0.5,13,5,8,1,1641.15,1684.95,1352.88
5bf31a46becc1204,Michael Trizano,71,155,73,3.1,54,1.73,67,0.5,50,86,1,2,0,2,2,1499.61,1499.61,1149.82
8abf70f79e9e27c2,Tor Troeng,74,185,77,1.16,46,3.26,32,0.62,7,66,0.3,1,3,-2,-3,1281.71,1490.4,1186.18
e14b5aa06eea9653,Abel Trujillo,68,155,70,2.65,41,2.31,59,2.18,45,40,0.4,6,4,2,-2,1413.04,1536.19,1240.67
df05aa15b2d66f57,Chris Tuchscherer,74,258,76,1.35,31,3.17,47,1.19,18,0,0.6,1,3,-2,-2,1336.58,1536.93,1175.02
53ec9cb470e1a4ea,Jon Tuck,71,155,73,3,40,3.74,60,0.42,33,50,1,4,5,-1,-1,1281.53,1344.78,1263.19
da816417a579a0bd,Gavin Tucker,66,145,66,2.6,31,5.07,53,0.5,20,42,0.5,1,1,0,-1,1318.01,1347.07,1082.2
1ed32eaaba9ffe10,Jumabieke Tuerxun,67,135,67,1.6,28,3.08,59,0.47,11,66,0.9,0,3,-3,-3,1135.54,1402.37,1149.03
63f8775391301891,Blair Tugman,72,135,75,2.25,53,0.93,50,7.5,60,0,0,0,0,0,0,1248.84,1248.84,1109.47
c62fbc117d57b943,Tai Tuivasa,74,264,75,5.21,55,2.92,58,0,0,100,0,3,0,3,1,1414.82,1414.82,1185.49
aceffa19749c4dc0,Zubaira Tukhugov,68,145,68,2.53,35,2.09,69,2.13,46,100,0,3,1,2,-1,1421.89,1472.77,1112.76
ff6a1f63c254127e,Albert Tumenov,71,170,73,3.76,42,3.34,58,0.2,20,75,0,5,3,2,-2,1547.54,1565.83,1220.6
cd3d7e37ff2d679c,Ricky Turcios,69,135,71,7.33,37,4.07,64,0,0,0,0,0,0,0,0,1328.89,1397.25,1076.93
