,id,name,id_opp,name_opp,event_id,event_name,elo,elo_opp,height_diff,reach_diff,ss_min_diff,str_acc_diff,str_a_min_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,wins_diff,losses_diff,momentum_diff,wl_diff_diff,outcome
45,21b8a0f5c231096f,Mark Coleman,6291ac0a3726732f,Pete Williams,4a01dc8376736ef5,UFC 17: Redemption,1022.7073259264153,1000.0,-2.0,-0.0,1.27,-10.0,-0.1499999999999999,0.0,2.05,0.0,34.0,-0.09999999999999998,13.0,5.0,3.0,8.0,L
46,fcaae0385b514f11,Frank Shamrock,8d26912cd2aeb366,Jeremy Horn,4a01dc8376736ef5,UFC 17: Redemption,1000.0,1000.0,-3.0,1.0,3.56,14.0,2.67,2.0,-1.48,12.0,8.0,0.0,-1.0,-5.0,1.0,4.0,W
47,8d26912cd2aeb366,Jeremy Horn,fcaae0385b514f11,Frank Shamrock,4a01dc8376736ef5,UFC 17: Redemption,1000.0,1000.0,3.0,-1.0,-3.56,-14.0,-2.67,-2.0,1.48,-12.0,-8.0,-0.0,1.0,5.0,-1.0,-4.0,L
48,dc950d59dc590aca,Ebenezer Fontes Braga,8d26912cd2aeb366,Jeremy Horn,32a3025d5db456ae,UFC - Ultimate Brazil,1000.0,970.0,-1.0,1.8769230769230774,1.23,11.0,-1.57,16.0,-1.83,-38.0,61.0,-0.5000000000000001,-7.0,-5.0,2.0,-2.0,W
49,8d26912cd2aeb366,Jeremy Horn,dc950d59dc590aca,Ebenezer Fontes Braga,32a3025d5db456ae,UFC - Ultimate Brazil,970.0,1000.0,1.0,-1.8769230769230774,-1.23,-11.0,1.57,-16.0,1.83,38.0,-61.0,0.5000000000000001,7.0,5.0,-2.0,2.0,L
50,b76ed59283d3559c,Tsuyoshi Kohsaka,6291ac0a3726732f,Pete Williams,32a3025d5db456ae,UFC - Ultimate Brazil,1025.3390211527048,1031.9579211527648,-4.0,0.0,1.27,-24.0,1.6400000000000001,14.0,-0.52,-20.0,17.0,-0.5,1.0,0.0,3.0,1.0,W
51,6291ac0a3726732f,Pete Williams,b76ed59283d3559c,Tsuyoshi Kohsaka,32a3025d5db456ae,UFC - Ultimate Brazil,1031.9579211527648,1025.3390211527048,4.0,-0.0,-1.27,24.0,-1.6400000000000001,-14.0,0.52,20.0,-17.0,0.5,-1.0,0.0,-3.0,-1.0,L
52,b44f39a5c6596953,Pedro Rizzo,b361180739bed4b0,David Abbott,32a3025d5db456ae,UFC - Ultimate Brazil,1000.0,924.5217083978636,1.0,0.0,0.5799999999999998,4.0,-0.5299999999999998,12.0,-0.81,-5.0,12.0,0.0,1.0,-4.0,3.0,5.0,W
53,b361180739bed4b0,David Abbott,b44f39a5c6596953,Pedro Rizzo,32a3025d5db456ae,UFC - Ultimate Brazil,924.5217083978636,1000.0,-1.0,-0.0,-0.5799999999999998,-4.0,0.5299999999999998,-12.0,0.81,5.0,-12.0,-0.0,-1.0,4.0,-3.0,-5.0,L
54,0ee783aa00e468f0,Vitor Belfort,a1f6999fe57236e0,Wanderlei Silva,32a3025d5db456ae,UFC - Ultimate Brazil,1020.336033934383,1000.0,1.0,0.0,-1.2,6.0,0.6400000000000001,-10.0,0.050000000000000044,7.0,-9.0,0.0,-3.0,3.0,-2.0,-6.0,W
