,id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
1125,fc31f896cde2bc2e,John Howard,67,170.0,72.0,2.15,50,3.08,51,2.7,49,53,0.4,7,7,0,-1
1126,a7de976620f2ed13,Shane Howell,68,125.0,75.75,1.27,32,2.55,42,0.0,0,20,0.0,0,2,-2,-2
1127,225def29ecfe0fc1,Carlos Huachin,64,135.0,67.0,2.1,21,4.8,50,0.0,0,66,0.0,0,2,-2,-2
1128,1ec1b6a7a29ffc71,Brady Huang,69,135.0,69.0,4.62,37,10.77,30,0.0,0,0,0.0,0,1,-1,-1
1129,d2cd7a69cc55e7ed,Austin Hubbard,70,155.0,71.0,3.67,47,2.97,58,1.35,61,63,0.0,3,4,-1,-1
1130,f372a848d250e006,Collin Huckbody,75,185.0,76.0,2.05,60,2.73,42,10.23,100,0,20.4,1,0,1,1
1131,8b9197746bd3e005,Alex Huddleston,79,254.0,75.75,2.47,42,2.59,67,0.0,0,0,0.9,0,0,0,0
1132,daf1b84aebd6602b,Roger Huerta,69,155.0,70.0,3.64,36,2.33,56,2.13,46,52,0.5,6,2,4,-2
1133,d62bb4d84a7267ba,Mark Hughes,69,205.0,75.875,0.9,47,0.4,42,3.0,50,0,4.5,1,0,1,1
1134,621a6c59f88a44fe,Matt Hughes,69,170.0,73.0,2.14,53,1.36,53,2.95,50,35,1.2,18,7,11,-2
1135,e94085e821bd81de,Sam Hughes,65,115.0,64.0,3.77,47,4.73,53,1.41,40,41,0.0,2,3,-1,2
1136,6a11e325aa60ad02,Jeff Hughes,74,250.0,77.0,3.95,51,3.67,60,0.71,50,45,0.0,1,3,-2,-2
1137,cb1b4d237b0079e6,Abongo Humphrey,71,205.0,75.875,1.45,40,3.83,46,1.41,37,33,3.8,1,3,-2,-2
1138,f5431394fb284bb9,James Te Huna,74,185.0,75.0,4.04,51,2.99,62,2.75,37,58,0.2,5,5,0,-4
1139,f703250471acaf96,Harry Hunsucker,74,205.0,75.0,3.54,52,6.53,42,0.0,0,0,2.0,0,4,-4,-4
