,id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
2313,781014fb7e8e647a,Joe Wilk,69,145.0,75.0,1.0,54,2.0,72,0.0,0,0,0.0,0,1,-1,-1
2314,cfaf010d5b389c09,Mike Wilkinson,67,145.0,68.0,2.35,38,3.7,35,0.92,14,55,0.9,2,2,0,-1
2315,826475cc758e60e6,Rob Wilkinson,75,185.0,80.0,2.74,50,5.66,39,4.47,25,0,0.0,0,2,-2,-2
2316,852454c572675334,James Wilks,73,170.0,75.0,1.82,45,2.03,50,1.27,22,66,3.8,2,2,0,-1
2317,39330403ad27c2bb,Patrick Williams,68,135.0,73.0,4.12,51,4.12,52,2.71,41,100,0.5,1,3,-2,-2
2318,6291ac0a3726732f,Pete Williams,75,235.0,75.0,0.61,62,2.77,40,1.84,40,16,0.9,3,5,-2,-4
2319,b8e2f10efb6eca85,Carter Williams,73,265.0,75.0,1.55,36,2.32,58,2.9,33,100,0.0,0,1,-1,-1
2320,e26bd53b751d61d9,Jordan Williams,72,185.0,75.0,6.9,87,0.59,50,3.3,100,100,0.0,0,0,0,0
2321,990bd63726a577f8,Tim Williams,74,185.0,76.0,3.07,38,3.55,48,1.81,40,100,0.0,0,2,-2,-2
2322,ce1e867808ef5fce,Justin Willis,73,264.0,78.0,4.4,60,2.92,60,1.26,66,0,0.0,4,0,4,4
2323,b8e6393c39cb9740,Sean Wilson,68,145.0,75.0,1.01,31,5.88,62,0.0,0,0,0.0,0,0,0,0
2324,cd01f0b768a32475,Jonathan Wilson,74,205.0,75.0,2.92,48,5.65,56,0.37,100,80,0.0,1,3,-2,-3
2325,a56607a451e4c70d,Chris Wilson,73,170.0,75.0,2.32,50,1.36,55,1.31,50,60,1.6,1,3,-2,-2
2326,eb29176b03dfa888,Matt Wiman,70,155.0,68.0,3.51,50,3.24,54,2.41,38,63,1.8,10,5,5,1
2327,fc9a9559a05f2704,Eddie Wineland,67,135.0,69.0,3.21,28,3.41,70,0.29,33,85,0.1,10,9,1,-2
2328,b45d6b73f4ca4467,Andre Winner,71,155.0,73.0,2.52,33,4.57,51,0.0,0,74,0.0,2,4,-2,-3
2329,53f84637dfffab7a,Eric Wisely,68,145.0,75.0,1.42,47,2.08,56,0.0,0,27,0.9,0,3,-3,-3
2330,cd12227edd3f134b,Keith Wisniewski,72,170.0,75.0,2.32,52,4.86,42,1.57,40,78,0.3,0,5,-5,-5
2331,7f9f528cb72a6ed1,Travis Wiuff,75,205.0,75.87692307692308,0.48,30,4.03,41,4.84,57,44,1.2,0,4,-4,-4
2332,aa79d5399571068e,Brandon Wolff,69,170.0,75.0,0.47,33,10.91,19,0.0,0,0,0.0,0,2,-2,-2
2333,329e403448756217,Nathaniel Wood,66,135.0,69.0,4.52,34,5.07,57,0.0,0,100,2.0,1,0,1,1
