name,ELO_x,prevdate,Best_Rating_to_Date,Avg_Elo_of_opponets,frFX
Marcin Prachnio,1364.79,9/15/2018 0:00,1462.86,1173.74,17
Antony Rea,1364.61,4/7/2018 0:43,1377.64,1092.06,49
Marcio Cruz,1364.44,11/2/2012 2:09,1373.3,1293,11
Tecia Torres,1364.4,7/28/2018 2:38,1446.92,1204.62,23
Geronimo dos Santos,1364.23,7/28/2018 1:26,1447.37,1133.38,62
Tom Lawlor,1364.17,3/5/2016 2:09,1403.65,1243.16,20
Joe Soto,1363.82,2/3/2018 0:28,1441.24,1257.79,25
Dave Herman,1363.73,5/16/2014 2:24,1479.92,1178.05,29
Mark Cherico,1363.53,8/22/2017 0:28,1421.32,1141.13,16
Mitch Gagnon,1363.44,12/10/2016 0:57,1452.37,1221.34,16
Alex Reyes,1363.35,9/16/2017 2:09,1402.26,1070.41,16
Justin Eilers,1362.85,7/26/2008 1:12,1410.77,1149.05,29
Daniel Sarafian,1362.85,3/9/2018 3:07,1362.85,1228.21,18
Erik Koch,1362.8,1/27/2018 1:55,1536.17,1304.04,21
Thiago Silva,1362.63,3/9/2018 3:21,1557.71,1269.66,30
Danny Navarro,1362.42,12/16/2017 3:21,1418.68,1069.12,26
Nick Hein,1361.83,7/22/2018 1:40,1484.1,1202.34,20
Ramsey Nijem,1361.62,10/12/2018 0:15,1437.51,1292.12,22
Andre Muniz,1361,3/24/2018 2:24,1396.29,1132.33,18
Leslie Smith,1360.93,7/16/2017 0:14,1360.93,1200.61,21
David Mitchell,1360.76,3/11/2017 2:38,1496.17,1209.51,29
Delson Heleno,1360.1,9/27/2017 1:26,1516.99,1199.51,41
Clay Collard,1359.87,4/13/2018 2:09,1409.7,1173.14,25
Kenji Osawa,1359.64,4/29/2014 1:55,1431.18,1160.18,33
Jesse Lennox,1359.31,6/12/2010 0:14,1474.96,1195.21,18
Nathan Coy,1359.17,4/15/2017 0:28,1448.06,1237.41,24
Johnny Eduardo,1359.13,6/1/2018 0:28,1471.97,1126.26,40
Marius Zaromskis,1359.1,1/16/2015 1:40,1499.59,1224.74,30
Aaron Simpson,1359.04,3/23/2013 2:09,1434.45,1276.36,17
TJ Waldburger,1359.04,2/22/2014 1:55,1436.4,1218.71,25
Travis Lutter,1358.6,5/21/2010 1:55,1451.43,1275.95,18
Matt Lindland,1357.65,5/21/2011 1:40,1538.03,1275.59,31
Sherron Leggett,1357.64,7/21/2011 1:55,1434.15,1106.01,27
Clint Godfrey,1357.1,6/1/2013 0:57,1387.66,1134.69,18
Randy Brown,1356.95,7/14/2018 2:24,1421.96,1189.93,19
Ryan Quinn,1355.54,10/20/2017 2:38,1382.98,1202.45,22
Darren Stewart,1355.39,9/8/2018 0:00,1369.42,1141.59,18
Kevin Casey,1355.33,8/25/2017 0:43,1420.56,1268.99,22
Matt Bessette,1355.07,7/6/2018 0:28,1494.5,1204.66,32
Ryan Janes,1354.93,12/1/2017 0:57,1354.93,1179.58,13
Drew McFedries,1354.78,8/15/2015 2:09,1388.45,1198.33,24
Mike Aina,1354.67,11/14/2014 0:43,1354.67,1116.78,21
Pawel Pawlak,1354.41,8/18/2018 0:00,1354.41,1142.93,17
Gleristone Santos,1353.91,5/5/2018 1:55,1555.78,1166.47,42
Alessio Sakara,1353.75,7/14/2018 1:12,1399.45,1204.26,33
Luke Barnatt,1353.4,6/16/2018 3:36,1457.74,1227.04,27
Fabio Maldonado,1353.38,5/19/2018 2:38,1465.4,1214.05,36
Kurt Pellegrino,1353.09,11/26/2011 1:55,1523.45,1232.38,26
David Loiseau,1352.7,6/7/2014 1:55,1478.18,1218.67,34
Takeya Mizugaki,1352.68,5/19/2018 2:52,1545.65,1289.59,37
Pedro Nobre,1352.68,4/28/2018 1:12,1496.3,1131.71,28
Falaniko Vitale,1352.06,9/26/2014 2:38,1478.98,1175.6,41
Markus Perez,1351.83,8/25/2018 0:00,1419.84,1216,12
Steven Peterson,1351.64,7/6/2018 0:28,1388.53,1165.68,25
Ross Pearson,1351.29,7/28/2018 1:12,1504.85,1321.32,39
Jeremy Lang,1351.09,7/23/2011 1:40,1427.8,1045.31,23
Sam Oropeza,1351.05,10/31/2015 1:55,1431,1157.56,16
Leandro Issa,1350.94,10/6/2018 0:00,1413,1182.35,23
Paul Buentello,1350.76,7/15/2016 2:52,1457.33,1181.04,52
Tonya Evinger,1350.61,10/6/2018 0:00,1447.27,1158.2,31
Yoshihiro Akiyama,1350.36,11/28/2015 2:09,1498.82,1251.99,22
Nasrat Haqparast,1349.99,10/27/2018 0:00,1349.99,1108.2,12
Jonathan Meunier,1349.9,5/4/2018 2:52,1349.9,1118.74,11
Danillo Villefort,1348.81,7/5/2018 0:28,1442.36,1193.94,21
Brock Lesnar,1348.62,7/9/2016 2:38,1363.69,1427.89,9
Marlon Vera,1348.55,8/4/2018 0:14,1391.77,1215.63,18
Hernani Perpetuo,1348.33,5/11/2018 2:09,1445.35,1167.75,26
Bobby Voelker,1348.32,6/16/2018 3:07,1436.5,1146.07,53
JJ Aldrich,1348.12,8/4/2018 2:09,1348.12,1122.71,21
Danny Castillo,1348,12/19/2015 1:12,1531.29,1303.54,27
Jason Knight,1347.69,11/3/2018 0:00,1602.45,1180.86,30
Eiji Mitsuoka,1347.48,8/11/2012 0:14,1461.11,1230.92,29
Alejandro Villalobos,1347.46,3/27/2015 1:26,1406.66,1096.49,21
Patrick Walsh,1347.3,3/31/2017 1:12,1409.33,1168.52,19
Shane Young,1347.26,6/23/2018 1:40,1347.26,1096.52,20
Akira Kikuchi,1346.74,9/8/2007 2:24,1469.15,1185.08,20
Joe Giannetti,1346.03,7/6/2018 2:38,1385.43,1041.81,13
Buddy Roberts,1346.02,8/11/2012 1:40,1370.94,1110.21,15
Dileno Lopes,1345.48,3/24/2018 1:26,1506.87,1131.45,26
Junior Assuncao,1344.93,5/26/2018 2:38,1467.37,1186.11,25
